"","microbe","gland",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","Ecoli","dufours","A.model","control","high",6,6,-4.37206015379313,1.23079601260116e-05,7.38477607560697e-05,"****"
"2","Ecoli","dufours","A.model","control","low",6,6,-1.5118338849565,0.13057612684305,0.39172838052915,"ns"
"3","Ecoli","dufours","A.model","control","medium",6,6,-2.94194701937482,0.00326155722938836,0.0163077861469418,"*"
"4","Ecoli","dufours","A.model","high","low",6,6,2.86022626883663,0.00423338841302086,0.0169335536520835,"*"
"5","Ecoli","dufours","A.model","high","medium",6,6,1.43011313441831,0.152684551092288,0.39172838052915,"ns"
"6","Ecoli","dufours","A.model","low","medium",6,6,-1.43011313441831,0.152684551092288,0.39172838052915,"ns"
"7","Smarcescens","dufours","A.model","control","high",6,6,-4.40908153700972,1.03809938400423e-05,6.22859630402536e-05,"****"
"8","Smarcescens","dufours","A.model","control","low",6,6,-1.46969384566991,0.141644690295137,0.42493407088541,"ns"
"9","Smarcescens","dufours","A.model","control","medium",6,6,-2.93938769133981,0.00328861430384793,0.0164430715192396,"*"
"10","Smarcescens","dufours","A.model","high","low",6,6,2.93938769133981,0.00328861430384793,0.0164430715192396,"*"
"11","Smarcescens","dufours","A.model","high","medium",6,6,1.46969384566991,0.141644690295137,0.42493407088541,"ns"
"12","Smarcescens","dufours","A.model","low","medium",6,6,-1.46969384566991,0.141644690295137,0.42493407088541,"ns"
"13","Ecoli","sternal","A.model","control","high",6,6,-3.55176012703561,0.000382663537952001,0.002295981227712,"**"
"14","Ecoli","sternal","A.model","control","low",6,6,-2.12289111041209,0.0337629775534036,0.135051910213615,"ns"
"15","Ecoli","sternal","A.model","control","medium",6,6,-3.14351183657175,0.00166933664274255,0.00834668321371275,"**"
"16","Ecoli","sternal","A.model","high","low",6,6,1.42886901662352,0.15304188415882,0.45912565247646,"ns"
"17","Ecoli","sternal","A.model","high","medium",6,6,0.408248290463863,0.683091398309609,0.683091398309609,"ns"
"18","Ecoli","sternal","A.model","low","medium",6,6,-1.02062072615966,0.307434165927395,0.61486833185479,"ns"
"19","Smarcescens","sternal","A.model","control","high",6,6,3.55176012703561,0.000382663537952001,0.002295981227712,"**"
"20","Smarcescens","sternal","A.model","control","low",6,6,1.796292478041,0.0724480135297871,0.289792054119148,"ns"
"21","Smarcescens","sternal","A.model","control","medium",6,6,2.49031457182956,0.0127630075326412,0.0638150376632061,"ns"
"22","Smarcescens","sternal","A.model","high","low",6,6,-1.75546764899461,0.0791793495755705,0.289792054119148,"ns"
"23","Smarcescens","sternal","A.model","high","medium",6,6,-1.06144555520604,0.288487463323489,0.576974926646978,"ns"
"24","Smarcescens","sternal","A.model","low","medium",6,6,0.694022093788567,0.487668353458931,0.576974926646978,"ns"
